WR,White Recessed,AP,Metal Louvre & Clear Lens,AP,P,F&P with 3 Circuit Wired 1/1/2/2/3/3,Zencontrol Wireless Smart + MW Sensor,AP,615mm x 68mm,,,,
LA,L Baffles + Antimicrobial,AQ,Metal Louvre & Frosted Lens,AQ,Q,F&P with 3 Circuit Wired 1/2/1/2 with custom 24 Hour,Zencontrol Wireless Smart + EM + PIR Sensor,AQ,615mm x 138mm,,,,
AA,Air Boot + Antimicrobial,AR,Ultima Computer Louvre & UGR Diffuser,AR,R,F&P with 3 Circuit Wired 1/1/2/2 with custom 24 Hour,Zencontrol Wireless Smart + EM + MW Sensor,AR,620mm x 339mm,,,,
RA,Rear Access,AS,Ultima Computer Louvre & Clear Lens,AS,S,5 wire system A1/A2/N1/N2/E or A1/N/E/DA/DA,Standard Phase Cut Driver,AS,620mm x 340mm,,,,
,,AT,Ultima Computer Louvre & Frosted Lens,AT,T,7 wire system A1/A2/A3/N1/N2/N3/E or A1/N1/A2/N2/E/DA/DA,DALI-2 Driver + EM,AT,630mm x 630mm,,,,
,,,,,,,,IU,X-16047mm,,,,
,,,,,,,,IV,X-16247mm,,,,
,,,,,,,,IW,X-16287mm,,,,
,,,,,,,,IX,X-16327mm,,,,
,,,,,,,,IY,X-16527mm,,,,
,,,,,,,,IZ,X-16567mm,,,,
,,,,,,,,I1,X-16607mm,,,,
,,,,,,,,I2,X-16807mm,,,,
,,,,,,,,I3,X-16847mm,,,,
,,,,,,,,I4,X-16887mm,,,,
,,,,,,,,I5,X-17087mm,,,,
,,,,,,,,I6,X-17127mm,,,,
,,,,,,,,I7,X-17167mm,,,,
,,,,,,,,I8,X-17367mm,,,,
,,,,,,,,I9,X-17407mm,,,,
,,,,,,,,I0,X-17447mm,,,,
,,,,,,,,JA,X-17647mm,,,,
,,,,,,,,JB,X-17687mm,,,,
,,,,,,,,JC,X-17727mm,,,,
,,,,,,,,JD,X-17927mm,,,,
,,,,,,,,JE,X-17967mm,,,,
,,,,,,,,JF,X-18007mm,,,,
,,,,,,,,JG,X-18207mm,,,,
,,,,,,,,JH,X-18247mm,,,,
,,,,,,,,JI,X-18287mm,,,,
,,,,,,,,JJ,X-18487mm,,,,
,,,,,,,,JK,X-18527mm,,,,
,,,,,,,,JL,X-18567mm,,,,
,,,,,,,,JM,X-18767mm,,,,
,,,,,,,,JN,X-18807mm,,,,
,,,,,,,,JO,X-18847mm,,,,
,,,,,,,,JP,X-19047mm,,,,
,,,,,,,,JQ,X-19087mm,,,,
,,,,,,,,JR,X-19127mm,,,,
,,,,,,,,JS,X-19327mm,,,,
,,,,,,,,JT,X-19367mm,,,,
,,,,,,,,JU,X-19407mm,,,,
,,,,,,,,JV,X-19607mm,,,,
,,,,,,,,JW,X-19647mm,,,,
,,,,,,,,JX,X-19687mm,,,,
,,,,,,,,JY,X-19887mm,,,,
,,,,,,,,JZ,X-19927mm,,,,
,,,,,,,,KA,X-21007mm,,,,
,,,,,,,,KB,X-21047mm,,,,
,,,,,,,,KC,X-21087mm,,,,
,,,,,,,,KD,446mm x 1338mm - One Way grid,,,,
,,,,,,,,KE,185mm x 1488mm - One Way Grid,,,,
,,,,,,,,KF,144mm x 1190mm - Two Way Grid,,,,
,,,,,,,,KG,185mm x 1338mm - One Way Grid,,,,
,,,,,,,,KH,185mm x 1188mm - One Way Grid,,,,
,,,,,,,,KI,144mm x 590mm - Two Way Grid,,,,
,,,,,,,,KJ,496mm x 1488mm - One Way Grid,,,,
,,,,,,,,KK,296mm x 738mm - Two Way Grid,,,,
,,,,,,,,KL,496mm x 738mm - One Way Grid,,,,
,,,,,,,,KM,446mm x 669mm - One Way Grid,,,,
,,,,,,,,ZW,Custom Product,,,,
,,,,,,,,ZX,No Dimension,,,,
,,,,,,,,ZY,Extrusion Module Count,,,,
,,,,,,,,ZZ,Extrusion base-36,,,,
